,pose.y
count,10000.0
mean,-0.008201487103699185
std,0.014454287457968253
min,-0.1019369214773178
25%,-0.013724724994972275
50%,-0.0063646542839705
75%,6.880956061650068e-05
max,0.0818216055631637
