,pose.x
count,10000.0
mean,-0.2897018390059471
std,0.018117423926108933
min,-0.3442391753196716
25%,-0.3024614527821541
50%,-0.2911835312843323
75%,-0.27798474580049515
max,-0.2185885459184646
