,pose.x
count,10000.0
mean,-0.2903440243810415
std,0.012765380752278638
min,-0.3353097438812256
25%,-0.29888589680194855
50%,-0.2905872315168381
75%,-0.2820635959506035
max,-0.2340202629566192
