,pose.x
count,10000.0
mean,-0.25135209750682114
std,0.011205971790273047
min,-0.2898340225219726
25%,-0.25908855348825455
50%,-0.2514068186283111
75%,-0.24370134249329564
max,-0.2099532783031463
