,pose.x
count,10000.0
mean,-0.28346713690310715
std,0.021057311352024686
min,-0.3518461883068084
25%,-0.29711404442787165
50%,-0.28501224517822266
75%,-0.27120290696620936
max,-0.1754542291164398
