,pose.x
count,10000.0
mean,-0.2786184905923903
std,0.023784748034343755
min,-0.3411931693553924
25%,-0.29162101447582245
50%,-0.2820017784833908
75%,-0.27033407986164093
max,-0.0918511897325515
