,pose.x
count,10000.0
mean,-0.08950856349244711
std,0.018230268397493678
min,-0.1801410466432571
25%,-0.09817383438348765
50%,-0.08722372725605959
75%,-0.07764408923685548
max,-0.0452809780836105
