,pose.y
count,10000.0
mean,-0.021470646700187047
std,0.0230474115877967
min,-0.1062106862664222
25%,-0.040584154427051475
50%,-0.01499815471470355
75%,-0.0038764270721002502
max,0.0794980153441429
