Timestamp,locSrv.x,locSrv.y,locSrv.z,stateEstimate.x,stateEstimate.y,stateEstimate.z
90379,0.0,0.0,0.0,0.11082790791988373,0.06911799311637878,-0.0454581119120121
90419,0.0,0.0,0.0,0.10996731370687485,0.06731534004211426,-0.042498987168073654
90459,0.0,0.0,0.0,0.11197640746831894,0.06643539667129517,-0.03874094411730766
90499,0.0,0.0,0.0,0.1130092516541481,0.0620979443192482,-0.04116888716816902
90539,0.0,0.0,0.0,0.12639760971069336,0.05361555144190788,-0.044419992715120316
90579,0.0,0.0,0.0,0.12153757363557816,0.05122178792953491,-0.04579691216349602
90619,0.0,0.0,0.0,0.12602564692497253,0.04845048859715462,-0.042197249829769135
90659,0.0,0.0,0.0,0.12875007092952728,0.048806846141815186,-0.046000175178050995
90699,0.0,0.0,0.0,0.12897664308547974,0.049484625458717346,-0.04155190289020538
90739,0.0,0.0,0.0,0.13182857632637024,0.047652147710323334,-0.043370142579078674
90779,0.0,0.0,0.0,0.13870687782764435,0.04030225798487663,-0.044920653104782104
90819,0.0,0.0,0.0,0.1410059630870819,0.04017884284257889,-0.046948887407779694
90859,0.0,0.0,0.0,0.14441409707069397,0.04357611760497093,-0.049827221781015396
90899,0.0,0.0,0.0,0.14731085300445557,0.04387877881526947,-0.04665191099047661
90939,0.0,0.0,0.0,0.1568046361207962,0.038356080651283264,-0.05100628733634949
90979,0.0,0.0,0.0,0.15413466095924377,0.043243467807769775,-0.049785662442445755
91019,0.0,0.0,0.0,0.15424688160419464,0.04316890239715576,-0.049306221306324005
91059,0.0,0.0,0.0,0.1503126621246338,0.04696245491504669,-0.045311588793992996
91099,0.0,0.0,0.0,0.15521572530269623,0.045304086059331894,-0.04563246667385101
91139,0.0,0.0,0.0,0.15583519637584686,0.05087590962648392,-0.04269227758049965
91179,0.0,0.0,0.0,0.16970597207546234,0.03981395810842514,-0.04568811133503914
91219,0.0,0.0,0.0,0.17114722728729248,0.037559833377599716,-0.0463407039642334
91259,0.0,0.0,0.0,0.1766345351934433,0.03714735060930252,-0.04992023482918739
91299,0.0,0.0,0.0,0.16594478487968445,0.04526567831635475,-0.04492460563778877
91339,0.0,0.0,0.0,0.17338445782661438,0.03633042424917221,-0.048202287405729294
91379,0.0,0.0,0.0,0.1734827756881714,0.03316563740372658,-0.04903043061494827
91419,0.0,0.0,0.0,0.1722562462091446,0.03625953570008278,-0.053279388695955276
91459,0.0,0.0,0.0,0.18041986227035522,0.03526654094457626,-0.05875290930271149
91499,0.0,0.0,0.0,0.1763884574174881,0.03757758066058159,-0.055511537939310074
91539,0.0,0.0,0.0,0.1768692135810852,0.05093735456466675,-0.0537240244448185
91579,0.0,0.0,0.0,0.1849490851163864,0.04388570785522461,-0.05573093146085739
91619,0.0,0.0,0.0,0.18941041827201843,0.04025375470519066,-0.057670336216688156
91659,0.0,0.0,0.0,0.1903182417154312,0.03713032975792885,-0.059279125183820724
91699,0.0,0.0,0.0,0.18086056411266327,0.042545706033706665,-0.05658338591456413
91739,0.0,0.0,0.0,0.1767921894788742,0.040660154074430466,-0.05880815163254738
91779,0.0,0.0,0.0,0.17721711099147797,0.03794673830270767,-0.060772113502025604
91819,0.0,0.0,0.0,0.17071978747844696,0.042491935193538666,-0.06155209615826607
91859,0.0,0.0,0.0,0.16706928610801697,0.03892606124281883,-0.06645123660564423
91899,0.0,0.0,0.0,0.16382946074008942,0.04060662165284157,-0.06445574015378952
91939,0.0,0.0,0.0,0.1612991988658905,0.043657172471284866,-0.066594697535038
91979,0.0,0.0,0.0,0.16483387351036072,0.03750477358698845,-0.07406926155090332
92019,0.0,0.0,0.0,0.15701177716255188,0.040076375007629395,-0.07711037248373032
92059,0.0,0.0,0.0,0.14850348234176636,0.053644269704818726,-0.0732220783829689
92099,0.0,0.0,0.0,0.14168979227542877,0.06031853333115578,-0.07389159500598907
92139,0.0,0.0,0.0,0.1319788545370102,0.06584957242012024,-0.06659470498561859
92179,0.0,0.0,0.0,0.12246467918157578,0.07375025749206543,-0.06216200813651085
92219,0.0,0.0,0.0,0.11867054551839828,0.07769080996513367,-0.06283697485923767
92259,0.0,0.0,0.0,0.11592571437358856,0.08255965262651443,-0.06112252548336983
92299,0.0,0.0,0.0,0.10071791708469391,0.09615364670753479,-0.050638582557439804
