stateEstimate.x_x,stateEstimate.x_y,stateEstimate.y_x,stateEstimate.y_y,stateEstimate.z_x,stateEstimate.z_y,stateEstimate.roll_x,stateEstimate.roll_y,stateEstimate.pitch_x,stateEstimate.pitch_y,stateEstimate.yaw_x,stateEstimate.yaw_y
1019644.,0.0731,1019644.,0.2257,1019644.,0.0111,1019644.,0.0469,1019644.,0.0414,1019644.,-0.8188
1019684.,0.0727,1019684.,0.2261,1019684.,0.0116,1019684.,0.0538,1019684.,0.0133,1019684.,-0.8123
1019724.,0.0726,1019724.,0.2269,1019724.,0.0114,1019724.,0.0552,1019724.,0.0215,1019724.,-0.8148
1019764.,0.0724,1019764.,0.2266,1019764.,0.0127,1019764.,0.0521,1019764.,-0.0152,1019764.,-0.8103
1019804.,0.0721,1019804.,0.2268,1019804.,0.0136,1019804.,0.0773,1019804.,-0.0217,1019804.,-0.8085
1019844.,0.0727,1019844.,0.2278,1019844.,0.0125,1019844.,0.0780,1019844.,0.0018,1019844.,-0.8049
1019884.,0.0715,1019884.,0.2294,1019884.,0.0121,1019884.,0.0518,1019884.,0.0481,1019884.,-0.8069
1019924.,0.0716,1019924.,0.2282,1019924.,0.0117,1019924.,0.1106,1019924.,0.0260,1019924.,-0.8154
1019964.,0.0757,1019964.,0.2291,1019964.,0.012,1019964.,0.0551,1019964.,-0.1186,1019964.,-0.8026
1020004.,0.0748,1020004.,0.2308,1020004.,0.0125,1020004.,0.0606,1020004.,-0.0846,1020004.,-0.8002
1020044.,0.0758,1020044.,0.2306,1020044.,0.0121,1020044.,0.0971,1020044.,-0.0863,1020044.,-0.7966
1020084.,0.0773,1020084.,0.2316,1020084.,0.0109,1020084.,0.0266,1020084.,-0.1041,1020084.,-0.7996
1020124.,0.0770,1020124.,0.226,1020124.,0.0109,1020124.,0.1716,1020124.,-0.0397,1020124.,-0.7951
1020164.,0.0780,1020164.,0.2265,1020164.,0.0109,1020164.,0.1183,1020164.,-0.0465,1020164.,-0.7997
1020204.,0.0776,1020204.,0.226,1020204.,0.0104,1020204.,0.1367,1020204.,-0.0827,1020204.,-0.7946
1020244.,0.0771,1020244.,0.2272,1020244.,0.0106,1020244.,0.1050,1020244.,-0.0515,1020244.,-0.8062
1020284.,0.0777,1020284.,0.228,1020284.,0.0112,1020284.,0.0916,1020284.,-0.0341,1020284.,-0.8055
1020324.,0.0794,1020324.,0.2262,1020324.,0.0126,1020324.,0.1391,1020324.,-0.0756,1020324.,-0.8045
1020364.,0.0797,1020364.,0.2271,1020364.,0.0144,1020364.,0.0834,1020364.,-0.0644,1020364.,-0.8200
1020404.,0.0774,1020404.,0.226,1020404.,0.0135,1020404.,0.1417,1020404.,-0.0136,1020404.,-0.8084
1020444.,0.0774,1020444.,0.2272,1020444.,0.0136,1020444.,0.0958,1020444.,-0.0327,1020444.,-0.8120
1020484.,0.0764,1020484.,0.2262,1020484.,0.0129,1020484.,0.1215,1020484.,-0.0316,1020484.,-0.8158
1020524.,0.0757,1020524.,0.2252,1020524.,0.0119,1020524.,0.1386,1020524.,0.0146,1020524.,-0.8071
1020564.,0.0765,1020564.,0.2256,1020564.,0.0103,1020564.,0.1025,1020564.,0.0168,1020564.,-0.8105
1020604.,0.0772,1020604.,0.2262,1020604.,0.0111,1020604.,0.1131,1020604.,-0.0025,1020604.,-0.8104
1020644.,0.0760,1020644.,0.227,1020644.,0.0118,1020644.,0.1222,1020644.,-0.0014,1020644.,-0.8080
1020684.,0.0789,1020684.,0.2289,1020684.,0.0116,1020684.,0.1044,1020684.,-0.0951,1020684.,-0.8043
1020724.,0.0776,1020724.,0.2302,1020724.,0.0117,1020724.,0.0935,1020724.,-0.0377,1020724.,-0.7952
1020764.,0.0777,1020764.,0.2289,1020764.,0.0119,1020764.,0.1512,1020764.,-0.0156,1020764.,-0.7826
1020804.,0.0782,1020804.,0.2288,1020804.,0.0121,1020804.,0.1457,1020804.,-0.0387,1020804.,-0.7801
1020844.,0.0778,1020844.,0.2310,1020844.,0.0114,1020844.,0.0176,1020844.,-0.0555,1020844.,-0.8086
1020884.,0.0776,1020884.,0.2289,1020884.,0.0113,1020884.,0.0766,1020884.,-0.0453,1020884.,-0.8127
1020924.,0.0775,1020924.,0.2281,1020924.,0.0109,1020924.,0.1034,1020924.,-0.0491,1020924.,-0.8159
1020964.,0.0791,1020964.,0.2274,1020964.,0.0106,1020964.,0.0778,1020964.,-0.0421,1020964.,-0.8331
1021004.,0.0800,1021004.,0.2277,1021004.,0.0116,1021004.,0.0765,1021004.,-0.0384,1021004.,-0.8292
1021044.,0.0788,1021044.,0.2286,1021044.,0.0115,1021044.,0.0786,1021044.,-0.0175,1021044.,-0.8124
1021084.,0.0788,1021084.,0.23,1021084.,0.0115,1021084.,0.0094,1021084.,-0.0364,1021084.,-0.8301
1021124.,0.0794,1021124.,0.2313,1021124.,0.011,1021124.,-0.0081,1021124.,-0.0525,1021124.,-0.8181
1021164.,0.0794,1021164.,0.231,1021164.,0.0118,1021164.,0.0556,1021164.,-0.0948,1021164.,-0.7976
1021204.,0.0795,1021204.,0.2315,1021204.,0.0113,1021204.,0.028,1021204.,-0.0420,1021204.,-0.8207
1021244.,0.0787,1021244.,0.231,1021244.,0.0113,1021244.,0.0589,1021244.,0.0103,1021244.,-0.8394
1021284.,0.0778,1021284.,0.2293,1021284.,0.0114,1021284.,0.1124,1021284.,-0.0044,1021284.,-0.8505
1021324.,0.0788,1021324.,0.2319,1021324.,0.0122,1021324.,0.0528,1021324.,-0.0525,1021324.,-0.8206
1021364.,0.077,1021364.,0.2325,1021364.,0.0119,1021364.,0.0953,1021364.,-0.0083,1021364.,-0.8089
